Dates,CO1 Comdty,QS1 Comdty,HO1 Comdty,NG1 Comdty,CL1 Comdty,HG1 Comdty,GC1 Comdty,PA1 Comdty,PL1 Comdty,SI1 Comdty,LX1 Comdty,LN1 Comdty,QC1 Comdty,KC1 Comdty,C 1 Comdty,CT1 Comdty,W 1 Comdty,BO1 Comdty,O 1 Comdty,SB1 Comdty,S 1 Comdty,LB1 Comdty,CF1 Index,Z 1 Index,IB1 Index,PT1 Index,ES1 Index,GX1 Index,SM1 Comdty,NQ1 Index,NK1 Index,DM1 Index,OI1 Index,TP1 Index,QC1 Index,FA1 Index,NZ1 Index,KM1 Index,XP1 Index
01/02/2001,34.26,263.59,94.68,5696.409,66.28,107.12,458.74,1342.22,645.51,8.132,1926.35,6734.85,681,847.96,1746.8125,295.47,5002.5625,26.73,90.8125,16.98,260.5,197.5,3712.5,4621.4,5119.9,476.36,1342.22,8917.12,34.79,2846.16,10059,#N/A N/A,331.04,862.2,#N/A N/A,#N/A N/A,2269.02,71.55,2833.9
01/03/2001,35.31,257.08,94.76,5583.493,68.16,107.84,457.39,1369.8,656.64,8.034,1927.77,6201.44,672,848.63,1767.9375,298.45,5129.3125,26.86,91.8125,17.08,261.6875,206,3621.5,4516.5,5198.4,494.92,1403.67,9126.68,34.72,3321.5,10059,#N/A N/A,331.04,862.2,#N/A N/A,#N/A N/A,2301.96,71.61,2803.8
01/04/2001,35.53,259.91,94.77,6061.554,68.83,107.05,455.54,1360.93,664.59,8.105,1931.54,6417.79,677,847.29,1767.9375,291.84,5147.4375,26.64,91.8125,17.28,258.4375,198.6,3724.2,4641.5,5411.2,495.1,1392.31,9050.73,34.53,3264.38,9978,#N/A N/A,346.16,856.5,#N/A N/A,#N/A N/A,2344.32,76.79,2866.6
01/05/2001,35.29,264.72,94.6,6278.588,67.88,108.83,456.55,1366.47,656.96,8.14,1923.52,6450.7,714,860.67,1737.1875,290.91,5124.75,26.86,90,17.14,256.75,195.6,3675.2,4616.2,5401.4,482.82,1347.13,9037.37,34.08,3011.61,10095,#N/A N/A,346.16,866.6,#N/A N/A,#N/A N/A,2378.77,81.14,2845.1
01/08/2001,34.07,255.95,90.99,6612.204,66.26,109.36,456.55,1421.35,667.35,8.123,1956.05,6565.35,723,853.98,1735.25,294.88,5124.75,26.98,90,17.48,257.6875,195,3675.2,4605.1,5416.6,481.53,1352.29,9037.37,34.1,3052.97,10095,#N/A N/A,346.16,866.6,#N/A N/A,#N/A N/A,2334.2,81.09,2819.3
01/09/2001,34.6,245.77,89.67,6723.654,66.73,108.9,455.71,1433.55,668.94,8.123,1944.26,6620.19,721,853.31,1748.6875,293.12,5161,26.97,91.25,17.46,259.625,189.6,3625.6,4539.6,5408.1,473.59,1352.29,9043.7,34.68,3054.29,9920,#N/A N/A,345.94,851.5,#N/A N/A,#N/A N/A,2347.69,81.92,2815.9
01/10/2001,35.47,253.69,93.77,6309.383,70.51,109.03,450.83,1486.76,675.41,8.096,1944.73,6754.79,714,847.29,1764.0625,295.42,5233.4375,27,91.0625,17.23,256.75,185.7,3616.1,4528.4,5409.8,478.21,1370.36,8999.4,34.46,3205.29,9803,#N/A N/A,345.94,843,#N/A N/A,#N/A N/A,2301.96,77.95,2804.7
01/11/2001,35.87,256.8,93.01,6030.025,70.53,109.62,449.48,1448.58,665.76,8.128,1944.73,6754.79,735,850.64,1710.25,298.01,5247,26.61,89.8125,17.27,250.1875,187.2,3645.4,4564.5,5472.8,480.98,1378.11,9180.83,33.58,3299.18,9679,#N/A N/A,343.75,828.9,#N/A N/A,#N/A N/A,2284.11,78.17,2803.8
01/12/2001,36.15,253.97,93.38,5907.577,71.88,111.08,449.31,1456.27,671.17,8.238,1986.01,7121.95,766,869.36,1685.3125,299.24,5233.4375,26.62,89.1875,16.87,249.125,184.6,3733.1,4603.6,5587,481.26,1373.72,9204.04,33.36,3335.29,9766,#N/A N/A,343.75,835.3,#N/A N/A,#N/A N/A,2295.48,81.26,2813.3
01/15/2001,36.82,255.11,93.38,5907.577,71.88,111.08,449.31,1456.27,671.17,8.238,1981.32,6986.15,800,869.36,1685.3125,299.24,5233.4375,26.62,89.1875,16.87,249.125,184.6,3729.6,4598.4,5578.5,481.26,1375.01,9250.45,33.36,3335.29,9861,#N/A N/A,342.33,839,#N/A N/A,#N/A N/A,2296.37,83.57,2807.3
