============================================================
      FINANCIAL STRATEGY BACKTEST REPORT
============================================================
Report Generated: 2025-07-30 11:21:43

--- PERFORMANCE METRICS ---
Initial Portfolio Value: $100,000.00
Final Portfolio Value:   $65,869.92
Total Net PnL:           $-34,130.08
Total Return:            -34.13%
Sharpe Ratio (Annualized): -0.23
Total Trades Executed:   413

--- TRANSACTION LOG ---
2001-06-18 09:30:00 | BUY   | 534.1024 units @ $187.23
2001-06-19 09:30:00 | SELL  | All units @ $183.77 | PnL: $-1,847.99 (-1.85%)
2001-06-25 09:30:00 | BUY   | 525.2422 units @ $186.87
2001-06-27 09:30:00 | SELL  | All units @ $187.54 | PnL: $351.91 (0.36%)
2001-06-28 09:30:00 | BUY   | 518.5508 units @ $189.96
2001-06-29 09:30:00 | SELL  | All units @ $187.00 | PnL: $-1,534.91 (-1.56%)
2001-07-04 09:30:00 | BUY   | 545.6280 units @ $177.72
2001-07-05 09:30:00 | SELL  | All units @ $179.60 | PnL: $1,025.78 (1.06%)
2001-07-09 09:30:00 | BUY   | 531.9443 units @ $184.22
2001-07-10 09:30:00 | SELL  | All units @ $182.38 | PnL: $-978.78 (-1.00%)
2001-07-11 09:30:00 | BUY   | 521.2832 units @ $186.11
2001-07-12 09:30:00 | SELL  | All units @ $185.66 | PnL: $-234.58 (-0.24%)
2001-07-18 09:30:00 | BUY   | 531.5617 units @ $182.07
2001-07-20 09:30:00 | SELL  | All units @ $177.00 | PnL: $-2,695.02 (-2.78%)
2001-07-23 09:30:00 | BUY   | 518.0399 units @ $181.62
2001-07-24 09:30:00 | SELL  | All units @ $179.06 | PnL: $-1,326.18 (-1.41%)
2001-07-31 09:30:00 | BUY   | 493.6681 units @ $187.90
2001-08-01 09:30:00 | SELL  | All units @ $185.12 | PnL: $-1,372.40 (-1.48%)
2001-08-03 09:30:00 | BUY   | 486.3642 units @ $187.90
2001-08-07 09:30:00 | SELL  | All units @ $184.45 | PnL: $-1,677.96 (-1.84%)
2001-08-27 09:30:00 | BUY   | 519.6054 units @ $172.65
